Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	QCHeLa10ng_ColTT1_BackFlush_02 Spectral Count	QCHeLa10ng_ColTT1_BackFlush_03 Spectral Count	QCHeLa10ng_ColTT1_BackFlush_05 Spectral Count	QCHeLa200pg_ColTT1_BackFlush_02 Spectral Count	QCHeLa200pg_ColTT1_BackFlush_03 Spectral Count	QCHeLa200pg_ColTT1_BackFlush_04 Spectral Count	QCHeLa10ng_ColTT1_BackFlush_02 Unique Spectral Count	QCHeLa10ng_ColTT1_BackFlush_03 Unique Spectral Count	QCHeLa10ng_ColTT1_BackFlush_05 Unique Spectral Count	QCHeLa200pg_ColTT1_BackFlush_02 Unique Spectral Count	QCHeLa200pg_ColTT1_BackFlush_03 Unique Spectral Count	QCHeLa200pg_ColTT1_BackFlush_04 Unique Spectral Count	QCHeLa10ng_ColTT1_BackFlush_02 Total Spectral Count	QCHeLa10ng_ColTT1_BackFlush_03 Total Spectral Count	QCHeLa10ng_ColTT1_BackFlush_05 Total Spectral Count	QCHeLa200pg_ColTT1_BackFlush_02 Total Spectral Count	QCHeLa200pg_ColTT1_BackFlush_03 Total Spectral Count	QCHeLa200pg_ColTT1_BackFlush_04 Total Spectral Count	QCHeLa10ng_ColTT1_BackFlush_02 Intensity	QCHeLa10ng_ColTT1_BackFlush_03 Intensity	QCHeLa10ng_ColTT1_BackFlush_05 Intensity	QCHeLa200pg_ColTT1_BackFlush_02 Intensity	QCHeLa200pg_ColTT1_BackFlush_03 Intensity	QCHeLa200pg_ColTT1_BackFlush_04 Intensity	QCHeLa10ng_ColTT1_BackFlush_02 MaxLFQ Intensity	QCHeLa10ng_ColTT1_BackFlush_03 MaxLFQ Intensity	QCHeLa10ng_ColTT1_BackFlush_05 MaxLFQ Intensity	QCHeLa200pg_ColTT1_BackFlush_02 MaxLFQ Intensity	QCHeLa200pg_ColTT1_BackFlush_03 MaxLFQ Intensity	QCHeLa200pg_ColTT1_BackFlush_04 MaxLFQ Intensity	Indistinguishable Proteins
sp|O00217|NDUS8_HUMAN	O00217	NDUS8_HUMAN	NDUFS8	210	Homo sapiens	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	1.0	0.999	4	11	11	11	6	4	1	0	0	0	6	4	1	0	0	0	6	4	1	0	0	0	1.14378144E8	1.15972168E8	1.11191856E8	0.0	0.0	0.0	3.4258216E7	3.4846204E7	3.1893412E7	0.0	0.0	0.0	
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 11	1.0	0.999	20	87	87	87	22	25	16	8	9	7	22	25	16	8	9	7	22	25	16	8	9	7	9.3098048E8	8.6253037E8	8.7485453E8	3.62005504E8	3.95294912E8	3.21833952E8	8.3375248E7	8.3403568E7	8.660152E7	8.114956E7	9.063004E7	9.3400104E7	
sp|O00232|PSD12_HUMAN	O00232	PSD12_HUMAN	PSMD12	456	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 12	1.0	0.999	16	44	44	44	13	20	11	0	0	0	13	20	11	0	0	0	13	20	11	0	0	0	3.0576048E8	3.2792448E8	3.27796736E8	0.0	0.0	0.0	4.6782592E7	4.256696E7	4.6313476E7	0.0	0.0	0.0	
sp|O00233|PSMD9_HUMAN	O00233	PSMD9_HUMAN	PSMD9	223	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 9	1.0	0.999	7	18	18	18	7	6	3	1	1	0	7	6	3	1	1	0	7	6	3	1	1	0	2.3527128E8	9.235672E7	9.6495376E7	2.8670076E7	2.7496942E7	0.0	4.9457592E7	4.865722E7	4.9412004E7	0.0	0.0	0.0	
sp|O00244|ATOX1_HUMAN	O00244	ATOX1_HUMAN	ATOX1	68	Homo sapiens	1:Experimental evidence at protein level	Copper transport protein ATOX1	1.0	0.999	2	5	5	5	2	2	1	0	0	0	2	2	1	0	0	0	2	2	1	0	0	0	5.3023216E7	5.1900608E7	6.1265716E7	0.0	0.0	0.0	3.0716814E7	2.9674738E7	3.5127308E7	0.0	0.0	0.0	
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens	1:Experimental evidence at protein level	Membrane-associated progesterone receptor component 1	1.0	0.999	6	22	16	22	7	4	5	2	2	2	6	3	4	1	1	1	7	4	5	2	2	2	3.1307488E8	2.50224656E8	2.97729472E8	1.56635248E8	2.10474704E8	1.61533968E8	7.37124E7	7.2059808E7	7.619664E7	8.1556408E7	8.1300584E7	8.3782776E7	
sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	Homo sapiens	1:Experimental evidence at protein level	Transcription elongation factor SPT5	1.0	0.999	12	20	20	20	6	10	4	0	0	0	6	10	4	0	0	0	6	10	4	0	0	0	1.1176732E8	1.1369028E8	1.84933984E8	0.0	0.0	0.0	3.2703946E7	3.116555E7	3.3694148E7	0.0	0.0	0.0	
sp|O00273|DFFA_HUMAN	O00273	DFFA_HUMAN	DFFA	331	Homo sapiens	1:Experimental evidence at protein level	DNA fragmentation factor subunit alpha	1.0	0.999	7	13	13	13	5	4	4	0	0	0	5	4	4	0	0	0	5	4	4	0	0	0	7.9223776E7	1.0468704E8	9.591344E7	0.0	0.0	0.0	2.3236732E7	2.5050048E7	2.2258104E7	0.0	0.0	0.0	
sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	Homo sapiens	1:Experimental evidence at protein level	Chloride intracellular channel protein 1	1.0	0.999	12	85	85	85	18	18	15	13	11	10	18	18	15	13	11	10	18	18	15	13	11	10	1.96677338E9	2.12805542E9	1.99271078E9	1.25262771E9	1.09918618E9	1.06654221E9	3.30257824E8	3.38611136E8	3.24857664E8	2.10789888E8	2.04373712E8	2.29459152E8	
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit F	1.0	0.999	12	48	48	48	16	14	11	2	2	3	16	14	11	2	2	3	16	14	11	2	2	3	4.99745568E8	5.0250464E8	4.79091072E8	1.02064976E8	1.09951504E8	1.2377928E8	9.2365704E7	9.1165088E7	8.9569424E7	6.6042636E7	7.2369336E7	7.6884696E7	
sp|O00330|ODPX_HUMAN	O00330	ODPX_HUMAN	PDHX	501	Homo sapiens	1:Experimental evidence at protein level	Pyruvate dehydrogenase protein X component, mitochondrial	1.0	0.999	2	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1.2540492E7	2433409.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00391|QSOX1_HUMAN	O00391	QSOX1_HUMAN	QSOX1	747	Homo sapiens	1:Experimental evidence at protein level	Sulfhydryl oxidase 1	0.9997	0.999	2	4	4	4	2	1	1	0	0	0	2	1	1	0	0	0	2	1	1	0	0	0	3.0679536E7	1.2719446E7	2.5267096E7	0.0	0.0	0.0	1.6014724E7	0.0	1.3230064E7	0.0	0.0	0.0	
sp|O00399|DCTN6_HUMAN	O00399	DCTN6_HUMAN	DCTN6	190	Homo sapiens	1:Experimental evidence at protein level	Dynactin subunit 6	0.9771	0.9989	1	2	2	2	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	8522184.0	9483654.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00400|ACATN_HUMAN	O00400	ACATN_HUMAN	SLC33A1	549	Homo sapiens	1:Experimental evidence at protein level	Acetyl-coenzyme A transporter 1	0.9995	0.9982	2	3	3	3	2	1	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	1.6130987E7	1.937729E7	2.0246644E7	0.0	0.0	0.0	9335910.0	1.2522184E7	1.2710039E7	0.0	0.0	0.0	
sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	1097	Homo sapiens	1:Experimental evidence at protein level	Importin-5	1.0	0.999	31	125	113	125	38	39	29	8	6	5	34	35	25	8	6	5	38	39	29	8	6	5	1.18613581E9	1.08298419E9	1.26990771E9	3.68034944E8	3.19657088E8	2.44578624E8	8.9343816E7	8.8565096E7	9.4438344E7	7.6392896E7	8.0053736E7	8.7302096E7	
sp|O00422|SAP18_HUMAN	O00422	SAP18_HUMAN	SAP18	153	Homo sapiens	1:Experimental evidence at protein level	Histone deacetylase complex subunit SAP18	1.0	0.999	6	15	15	15	5	5	3	1	1	0	5	5	3	1	1	0	5	5	3	1	1	0	2.17857168E8	8.521644E7	2.11101952E8	5.5556016E7	8.5284928E7	0.0	4.4957036E7	3.2259912E7	4.5897644E7	0.0	5.4026864E7	0.0	
sp|O00425|IF2B3_HUMAN	O00425	IF2B3_HUMAN	IGF2BP3	579	Homo sapiens	1:Experimental evidence at protein level	Insulin-like growth factor 2 mRNA-binding protein 3	1.0	0.999	19	61	49	61	21	23	15	1	1	0	16	18	13	1	1	0	21	23	15	1	1	0	3.686488E8	2.81835072E8	2.76616256E8	0.0	3.2847208E7	0.0	6.4334844E7	6.1894964E7	6.010666E7	0.0	0.0	0.0	
