Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	10ngQCHeLa_50umC12_0min_1x_01 Spectral Count	10ngQCHeLa_50umC12_0min_1x_02 Spectral Count	10ngQCHeLa_50umC12_0min_1x_03 Spectral Count	200pgQCHeLa_50umC12_0min_1x_03_20230223123922 Spectral Count	200pgQCHeLa_50umC12_0min_1x_04 Spectral Count	200pgQCHeLa_50umC12_0min_1x_05 Spectral Count	200pgQCHeLa_50umC12_0min_1x_06 Spectral Count	20ngQCHeLa_50umC12_0min_1x_01 Spectral Count	20ngQCHeLa_50umC12_0min_1x_02 Spectral Count	20ngQCHeLa_50umC12_0min_1x_03 Spectral Count	2ngQCHeLa_50umC12_0min_1x_01 Spectral Count	2ngQCHeLa_50umC12_0min_1x_02 Spectral Count	2ngQCHeLa_50umC12_0min_1x_03 Spectral Count	2ngQCHeLa_75umC8_0min_1x_01 Spectral Count	2ngQCHeLa_75umC8_0min_1x_02 Spectral Count	Blank_50umC12_0min_1x_01 Spectral Count	Blank_50umC12_0min_1x_02 Spectral Count	Blank_50umC12_0min_1x_03 Spectral Count	10ngQCHeLa_50umC12_0min_1x_01 Unique Spectral Count	10ngQCHeLa_50umC12_0min_1x_02 Unique Spectral Count	10ngQCHeLa_50umC12_0min_1x_03 Unique Spectral Count	200pgQCHeLa_50umC12_0min_1x_03_20230223123922 Unique Spectral Count	200pgQCHeLa_50umC12_0min_1x_04 Unique Spectral Count	200pgQCHeLa_50umC12_0min_1x_05 Unique Spectral Count	200pgQCHeLa_50umC12_0min_1x_06 Unique Spectral Count	20ngQCHeLa_50umC12_0min_1x_01 Unique Spectral Count	20ngQCHeLa_50umC12_0min_1x_02 Unique Spectral Count	20ngQCHeLa_50umC12_0min_1x_03 Unique Spectral Count	2ngQCHeLa_50umC12_0min_1x_01 Unique Spectral Count	2ngQCHeLa_50umC12_0min_1x_02 Unique Spectral Count	2ngQCHeLa_50umC12_0min_1x_03 Unique Spectral Count	2ngQCHeLa_75umC8_0min_1x_01 Unique Spectral Count	2ngQCHeLa_75umC8_0min_1x_02 Unique Spectral Count	Blank_50umC12_0min_1x_01 Unique Spectral Count	Blank_50umC12_0min_1x_02 Unique Spectral Count	Blank_50umC12_0min_1x_03 Unique Spectral Count	10ngQCHeLa_50umC12_0min_1x_01 Total Spectral Count	10ngQCHeLa_50umC12_0min_1x_02 Total Spectral Count	10ngQCHeLa_50umC12_0min_1x_03 Total Spectral Count	200pgQCHeLa_50umC12_0min_1x_03_20230223123922 Total Spectral Count	200pgQCHeLa_50umC12_0min_1x_04 Total Spectral Count	200pgQCHeLa_50umC12_0min_1x_05 Total Spectral Count	200pgQCHeLa_50umC12_0min_1x_06 Total Spectral Count	20ngQCHeLa_50umC12_0min_1x_01 Total Spectral Count	20ngQCHeLa_50umC12_0min_1x_02 Total Spectral Count	20ngQCHeLa_50umC12_0min_1x_03 Total Spectral Count	2ngQCHeLa_50umC12_0min_1x_01 Total Spectral Count	2ngQCHeLa_50umC12_0min_1x_02 Total Spectral Count	2ngQCHeLa_50umC12_0min_1x_03 Total Spectral Count	2ngQCHeLa_75umC8_0min_1x_01 Total Spectral Count	2ngQCHeLa_75umC8_0min_1x_02 Total Spectral Count	Blank_50umC12_0min_1x_01 Total Spectral Count	Blank_50umC12_0min_1x_02 Total Spectral Count	Blank_50umC12_0min_1x_03 Total Spectral Count	10ngQCHeLa_50umC12_0min_1x_01 Intensity	10ngQCHeLa_50umC12_0min_1x_02 Intensity	10ngQCHeLa_50umC12_0min_1x_03 Intensity	200pgQCHeLa_50umC12_0min_1x_03_20230223123922 Intensity	200pgQCHeLa_50umC12_0min_1x_04 Intensity	200pgQCHeLa_50umC12_0min_1x_05 Intensity	200pgQCHeLa_50umC12_0min_1x_06 Intensity	20ngQCHeLa_50umC12_0min_1x_01 Intensity	20ngQCHeLa_50umC12_0min_1x_02 Intensity	20ngQCHeLa_50umC12_0min_1x_03 Intensity	2ngQCHeLa_50umC12_0min_1x_01 Intensity	2ngQCHeLa_50umC12_0min_1x_02 Intensity	2ngQCHeLa_50umC12_0min_1x_03 Intensity	2ngQCHeLa_75umC8_0min_1x_01 Intensity	2ngQCHeLa_75umC8_0min_1x_02 Intensity	Blank_50umC12_0min_1x_01 Intensity	Blank_50umC12_0min_1x_02 Intensity	Blank_50umC12_0min_1x_03 Intensity	10ngQCHeLa_50umC12_0min_1x_01 MaxLFQ Intensity	10ngQCHeLa_50umC12_0min_1x_02 MaxLFQ Intensity	10ngQCHeLa_50umC12_0min_1x_03 MaxLFQ Intensity	200pgQCHeLa_50umC12_0min_1x_03_20230223123922 MaxLFQ Intensity	200pgQCHeLa_50umC12_0min_1x_04 MaxLFQ Intensity	200pgQCHeLa_50umC12_0min_1x_05 MaxLFQ Intensity	200pgQCHeLa_50umC12_0min_1x_06 MaxLFQ Intensity	20ngQCHeLa_50umC12_0min_1x_01 MaxLFQ Intensity	20ngQCHeLa_50umC12_0min_1x_02 MaxLFQ Intensity	20ngQCHeLa_50umC12_0min_1x_03 MaxLFQ Intensity	2ngQCHeLa_50umC12_0min_1x_01 MaxLFQ Intensity	2ngQCHeLa_50umC12_0min_1x_02 MaxLFQ Intensity	2ngQCHeLa_50umC12_0min_1x_03 MaxLFQ Intensity	2ngQCHeLa_75umC8_0min_1x_01 MaxLFQ Intensity	2ngQCHeLa_75umC8_0min_1x_02 MaxLFQ Intensity	Blank_50umC12_0min_1x_01 MaxLFQ Intensity	Blank_50umC12_0min_1x_02 MaxLFQ Intensity	Blank_50umC12_0min_1x_03 MaxLFQ Intensity	Indistinguishable Proteins
sp|P29401|TKT_HUMAN	P29401	TKT_HUMAN	TKT	623	Homo sapiens	1:Experimental evidence at protein level	Transketolase	1.0	0.999	24	400	382	400	30	24	30	10	20	20	1	38	41	37	33	29	33	26	22	6	0	0	29	23	28	9	19	19	1	37	39	35	31	28	32	25	21	6	0	0	30	24	30	10	20	20	1	38	41	37	33	29	33	26	22	6	0	0	3.25898778E9	3.18703155E9	3.23714406E9	1.49908211E9	2.59064166E9	2.83411635E9	3.04469606E9	3.2253737E9	3.18034381E9	3.28117171E9	3.11091328E9	3.25358822E9	3.02328627E9	3.51133722E9	3.4823744E9	3.83730355E9	3.75779008E8	5.582838E7	3.86146112E8	3.91704096E8	3.9010464E8	3.238416E8	3.29691872E8	3.64381728E8	3.88294048E8	3.80104832E8	3.75955584E8	3.80039488E8	3.84106272E8	3.93483072E8	3.7432224E8	3.84805344E8	3.67707936E8	3.90191072E8	5.29504256E8	0.0	
sp|P29466|CASP1_HUMAN	P29466	CASP1_HUMAN	CASP1	404	Homo sapiens	1:Experimental evidence at protein level	Caspase-1	1.0	0.9978	4	10	7	10	2	1	1	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	1.6155274E7	1.5700276E7	1.08932288E8	0.0	0.0	0.0	0.0	1.6646806E7	1.6180126E7	1.05979568E8	1.2695182E7	1.2107484E7	1.3984862E7	8.2461E7	1722222.2	0.0	0.0	0.0	2.2681782E7	2.1083276E7	2.1370186E7	0.0	0.0	0.0	0.0	2.0148378E7	1.8336822E7	1.9483626E7	1.877745E7	1.948325E7	2.015145E7	1.6860766E7	0.0	0.0	0.0	0.0	
sp|P29558|RBMS1_HUMAN	P29558	RBMS1_HUMAN	RBMS1	406	Homo sapiens	1:Experimental evidence at protein level	RNA-binding motif, single-stranded-interacting protein 1	0.9463	0.998	1	6	0	6	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2977179.5	4292424.5	3590470.5	0.0	0.0	0.0	0.0	3435995.0	2895994.8	3373746.5	5650835.0	0.0	4965224.5	5082803.0	5014941.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q15434|RBMS2_HUMAN
sp|P29590|PML_HUMAN	P29590	PML_HUMAN	PML	882	Homo sapiens	1:Experimental evidence at protein level	Protein PML	1.0	0.9985	3	9	9	9	1	0	0	0	0	0	0	3	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	2	3	0	0	0	0	0	0	0	0	8567648.0	2.1001888E7	2.249861E7	0.0	0.0	0.0	0.0	2.2595034E7	2.5010762E7	2.2362602E7	3922035.2	0.0	0.0	4048210.8	4522032.5	0.0	0.0	0.0	1.2501431E7	1.1906838E7	1.3458441E7	0.0	0.0	0.0	0.0	1.2429332E7	1.2955589E7	1.2495295E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P29692|EF1D_HUMAN	P29692	EF1D_HUMAN	EEF1D	281	Homo sapiens	1:Experimental evidence at protein level	Elongation factor 1-delta	1.0	0.999	12	179	162	179	15	12	11	6	9	10	1	15	15	15	15	12	14	13	14	2	0	0	14	11	10	5	8	9	1	13	13	14	14	11	13	12	13	1	0	0	15	12	11	6	9	10	1	15	15	15	15	12	14	13	14	2	0	0	1.17761882E9	1.11961766E9	1.16414746E9	8.0418464E8	9.8696563E8	8.9358099E8	9.9738086E8	1.1007031E9	1.18403661E9	1.16899686E9	1.13966899E9	1.17659098E9	1.08593562E9	1.47811533E9	1.44207078E9	1.21734989E9	0.0	0.0	2.16469264E8	2.0599904E8	2.05647424E8	2.3858256E8	2.25069472E8	2.19204672E8	2.11361712E8	2.01650848E8	2.02975056E8	2.00885008E8	2.2167968E8	2.23314624E8	2.08534576E8	2.60528336E8	2.53576592E8	2.3273976E8	0.0	0.0	
sp|P29992|GNA11_HUMAN	P29992	GNA11_HUMAN	GNA11	359	Homo sapiens	1:Experimental evidence at protein level	Guanine nucleotide-binding protein subunit alpha-11	1.0	0.999	4	17	6	17	2	1	1	0	0	0	0	4	4	3	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	2	1	1	0	0	0	0	4	4	3	1	0	1	0	0	0	0	0	1.631454E7	1.2721859E7	1.2156946E7	0.0	0.0	0.0	0.0	1.8596512E7	1.731298E7	1.681434E7	1.1876607E7	1.1957035E7	1.0864148E7	4998452.0	4723496.0	0.0	0.0	0.0	4881609.0	5398562.5	5085532.5	0.0	0.0	0.0	0.0	5657846.0	5144429.5	5719606.0	5318843.0	4327503.5	5230713.0	0.0	0.0	0.0	0.0	0.0	
sp|P30040|ERP29_HUMAN	P30040	ERP29_HUMAN	ERP29	261	Homo sapiens	1:Experimental evidence at protein level	Endoplasmic reticulum resident protein 29	1.0	0.999	11	121	121	121	12	7	10	0	3	3	0	16	16	15	10	8	12	5	4	0	0	0	12	7	10	0	3	3	0	16	16	15	10	8	12	5	4	0	0	0	12	7	10	0	3	3	0	16	16	15	10	8	12	5	4	0	0	0	3.83762528E8	3.35665824E8	4.62611456E8	0.0	2.13997088E8	2.09564672E8	2.3063536E8	4.21708E8	4.26530048E8	4.26335008E8	3.49567904E8	3.71960288E8	3.5941968E8	3.79949216E8	4.13270304E8	3.06829152E8	7.168616E7	0.0	1.33842424E8	1.25086112E8	1.39794432E8	0.0	1.09648088E8	1.28789936E8	1.00861824E8	1.4538824E8	1.4591624E8	1.52833648E8	1.0575104E8	1.21430392E8	1.08312216E8	1.16165664E8	1.19514144E8	1.04976112E8	0.0	0.0	
sp|P30041|PRDX6_HUMAN	P30041	PRDX6_HUMAN	PRDX6	224	Homo sapiens	1:Experimental evidence at protein level	Peroxiredoxin-6	1.0	0.999	15	255	255	255	22	17	18	8	11	9	3	23	23	27	18	19	15	18	17	7	0	0	22	17	18	8	11	9	3	23	23	27	18	19	15	18	17	7	0	0	22	17	18	8	11	9	3	23	23	27	18	19	15	18	17	7	0	0	2.22028211E9	2.22285286E9	2.28312525E9	6.7776832E8	1.93122304E9	1.93898355E9	2.0096224E9	2.38760218E9	2.33184435E9	2.52011085E9	1.95066816E9	2.05252928E9	1.92591949E9	2.22570445E9	2.11827738E9	2.60881075E9	1.03833664E9	0.0	4.18565728E8	4.08758176E8	4.18916672E8	3.89415872E8	4.06178368E8	4.34192E8	4.22596896E8	4.31524192E8	4.21923008E8	4.45449184E8	3.7122416E8	3.92042144E8	3.97902976E8	4.3084368E8	4.10808608E8	4.5752224E8	1.1262697E9	0.0	
sp|P30043|BLVRB_HUMAN	P30043	BLVRB_HUMAN	BLVRB	206	Homo sapiens	1:Experimental evidence at protein level	Flavin reductase (NADPH)	1.0	0.999	9	124	124	124	13	9	9	2	2	3	0	13	15	13	11	10	11	7	6	0	0	0	13	9	9	2	2	3	0	13	15	13	11	10	11	7	6	0	0	0	13	9	9	2	2	3	0	13	15	13	11	10	11	7	6	0	0	0	2.60844816E8	2.79113632E8	2.84928128E8	9.641124E7	7.9328232E7	1.052926E8	8.0902592E7	2.90200352E8	3.14275392E8	3.15962368E8	2.6096344E8	2.65639856E8	2.55612288E8	2.53642096E8	2.67470592E8	1.07702864E8	0.0	0.0	5.346744E7	4.8187964E7	5.3957972E7	8.4199384E7	5.53252E7	5.290258E7	6.3457664E7	5.3684628E7	5.1954288E7	5.4505556E7	5.03043E7	5.0091044E7	4.9970416E7	5.6751704E7	5.8358404E7	4.7235856E7	0.0	0.0	
sp|P30044|PRDX5_HUMAN	P30044	PRDX5_HUMAN	PRDX5	214	Homo sapiens	1:Experimental evidence at protein level	Peroxiredoxin-5, mitochondrial	1.0	0.999	8	183	183	183	17	12	13	1	8	8	1	17	17	17	17	12	17	13	9	4	0	0	17	12	13	1	8	8	1	17	17	17	17	12	17	13	9	4	0	0	17	12	13	1	8	8	1	17	17	17	17	12	17	13	9	4	0	0	1.27939558E9	1.30562291E9	1.37325709E9	2.06080656E8	9.691031E8	1.0004775E9	1.14574989E9	1.48376358E9	1.48266982E9	1.58309875E9	1.11745856E9	1.14496243E9	1.07457434E9	1.4633504E9	1.38791872E9	1.8759945E9	9.1113286E8	2.491156E8	2.1805336E8	2.05555808E8	2.24033584E8	0.0	1.97797472E8	2.02150224E8	2.28139312E8	2.53175552E8	2.58550928E8	2.7646816E8	1.83368864E8	1.81259792E8	1.72178112E8	2.5100736E8	2.29418064E8	3.5767872E8	2.35720464E8	1.08272832E9	
sp|P30046|DOPD_HUMAN	P30046	DOPD_HUMAN	DDT	118	Homo sapiens	1:Experimental evidence at protein level	D-dopachrome decarboxylase	1.0	0.999	5	54	7	54	4	6	4	0	3	2	0	5	5	6	5	5	4	2	2	1	0	0	1	1	1	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	4	6	4	0	3	2	0	5	5	6	5	5	4	2	2	1	0	0	1.38504176E8	1.29588744E8	1.3900128E8	0.0	9.2965648E7	1.00354912E8	6.893524E7	1.62455056E8	1.59298736E8	1.6103304E8	1.20684216E8	1.37790496E8	1.16320424E8	1.6128056E8	1.59648352E8	1.75801936E8	0.0	0.0	6.3738012E7	6.2557344E7	6.2048824E7	0.0	5.348084E7	5.60112E7	0.0	6.779504E7	6.688572E7	7.190764E7	6.560504E7	6.460766E7	6.5044324E7	6.9569312E7	6.8556112E7	1.38590176E8	0.0	0.0	
sp|P30047|GFRP_HUMAN	P30047	GFRP_HUMAN	GCHFR	84	Homo sapiens	1:Experimental evidence at protein level	GTP cyclohydrolase 1 feedback regulatory protein	1.0	0.999	3	24	24	24	3	2	3	0	0	0	0	3	5	5	1	1	1	0	0	0	0	0	3	2	3	0	0	0	0	3	5	5	1	1	1	0	0	0	0	0	3	2	3	0	0	0	0	3	5	5	1	1	1	0	0	0	0	0	3.6168412E7	6.0305976E7	6.0467632E7	0.0	0.0	0.0	0.0	6.1478764E7	4.5693232E7	6.313898E7	2.2180392E7	2.3852944E7	2.2281976E7	1.4091641E7	1.4075517E7	2.9574748E7	0.0	0.0	1.6838168E7	2.6870734E7	2.1650126E7	0.0	0.0	0.0	0.0	2.6978782E7	2.1953674E7	2.2640706E7	1.8483214E7	2.003777E7	1.8720512E7	0.0	0.0	0.0	0.0	0.0	
sp|P30048|PRDX3_HUMAN	P30048	PRDX3_HUMAN	PRDX3	256	Homo sapiens	1:Experimental evidence at protein level	Thioredoxin-dependent peroxide reductase, mitochondrial	1.0	0.999	8	142	142	142	12	12	10	3	5	8	2	12	12	11	10	11	10	9	11	4	0	0	12	12	10	3	5	8	2	12	12	11	10	11	10	9	11	4	0	0	12	12	10	3	5	8	2	12	12	11	10	11	10	9	11	4	0	0	4.84235744E8	4.6126272E8	5.2229136E8	1.92743872E8	4.3680032E8	4.31736224E8	4.63313696E8	5.25190144E8	5.2538464E8	5.32190816E8	4.31563456E8	4.36121504E8	4.11023552E8	4.9361904E8	5.6379533E8	5.9073946E8	8.1777032E7	5.6577772E7	1.15919208E8	1.07459424E8	1.1104976E8	1.08574288E8	1.28642E8	1.12647856E8	1.24809208E8	1.10625728E8	1.12631104E8	1.09837024E8	1.08784552E8	1.09989768E8	1.12172232E8	1.28125096E8	1.1926848E8	1.26434608E8	0.0	0.0	
sp|P30049|ATPD_HUMAN	P30049	ATPD_HUMAN	ATP5F1D	168	Homo sapiens	1:Experimental evidence at protein level	ATP synthase subunit delta, mitochondrial	1.0	0.999	3	37	37	37	3	3	3	2	2	2	0	3	3	4	3	2	3	2	2	0	0	0	3	3	3	2	2	2	0	3	3	4	3	2	3	2	2	0	0	0	3	3	3	2	2	2	0	3	3	4	3	2	3	2	2	0	0	0	8.9676264E7	9.070708E7	8.5166272E7	6.0918944E7	6.718304E7	7.5090152E7	4.7524548E7	7.728124E7	7.6182992E7	8.5194944E7	9.0694432E7	9.4292784E7	8.7910016E7	9.2226768E7	8.9197384E7	6.5131224E7	0.0	0.0	5.2872664E7	5.32514E7	4.9835284E7	3.5705376E7	3.9985608E7	4.5759304E7	0.0	4.5088328E7	4.5653952E7	4.5903744E7	5.3472188E7	5.5745372E7	5.1942576E7	5.1658944E7	4.6916924E7	4.0436096E7	0.0	0.0	
sp|P30050|RL12_HUMAN	P30050	RL12_HUMAN	RPL12	165	Homo sapiens	1:Experimental evidence at protein level	60S ribosomal protein L12	1.0	0.999	7	154	154	154	13	11	9	5	7	8	2	12	12	13	12	11	11	13	12	3	0	0	13	11	9	5	7	8	2	12	12	13	12	11	11	13	12	3	0	0	13	11	9	5	7	8	2	12	12	13	12	11	11	13	12	3	0	0	9.7734426E8	9.2632864E8	9.2872678E8	4.27650112E8	8.9086374E8	9.5205555E8	8.4186195E8	9.2447258E8	8.8906848E8	9.2438982E8	9.4901094E8	9.759767E8	9.2043674E8	1.16406477E9	1.18211648E9	8.3382752E8	1.44560256E8	0.0	2.27169136E8	2.13652864E8	2.1633472E8	1.89701616E8	2.15445456E8	2.31299712E8	2.1513472E8	2.23788144E8	2.13427472E8	2.28993888E8	2.1692072E8	2.23583568E8	2.1207216E8	2.45202528E8	2.43821552E8	2.2561112E8	1.35244368E8	0.0	
sp|P30084|ECHM_HUMAN	P30084	ECHM_HUMAN	ECHS1	290	Homo sapiens	1:Experimental evidence at protein level	Enoyl-CoA hydratase, mitochondrial	1.0	0.999	13	157	157	157	14	11	11	0	3	3	0	19	16	17	15	13	10	13	11	1	0	0	14	11	11	0	3	3	0	19	16	17	15	13	10	13	11	1	0	0	14	11	11	0	3	3	0	19	16	17	15	13	10	13	11	1	0	0	3.4058944E8	3.33955808E8	3.42650368E8	0.0	1.30554224E8	1.52471008E8	1.84819664E8	4.12853088E8	3.76686016E8	4.44990816E8	3.12958368E8	3.27499488E8	2.86776512E8	3.9907632E8	3.47637184E8	3.24830464E8	9.5914056E7	0.0	6.1284308E7	6.1065488E7	6.2311304E7	0.0	6.8108312E7	6.373724E7	6.4864596E7	6.4893124E7	6.2980132E7	6.6950876E7	5.7188224E7	6.1532612E7	5.432022E7	6.589204E7	6.1238332E7	5.7608716E7	0.0	0.0	
sp|P30085|KCY_HUMAN	P30085	KCY_HUMAN	CMPK1	196	Homo sapiens	1:Experimental evidence at protein level	UMP-CMP kinase	1.0	0.999	8	62	62	62	8	5	6	0	1	1	0	8	7	8	3	5	4	2	4	0	0	0	8	5	6	0	1	1	0	8	7	8	3	5	4	2	4	0	0	0	8	5	6	0	1	1	0	8	7	8	3	5	4	2	4	0	0	0	1.02222512E8	1.03667136E8	1.04896904E8	0.0	3.2102588E7	2.5223698E7	1.4287751E7	1.08863952E8	1.070428E8	1.11500304E8	8.9349272E7	9.3333264E7	8.562272E7	9.903708E7	9.5594E7	3.8733436E7	0.0	0.0	2.9778288E7	3.2493968E7	3.1696804E7	0.0	0.0	0.0	0.0	3.1920836E7	3.2085752E7	3.241163E7	2.9510262E7	2.96526E7	3.038843E7	3.1039644E7	2.8575758E7	1.9834334E7	0.0	0.0	
sp|P30086|PEBP1_HUMAN	P30086	PEBP1_HUMAN	PEBP1	187	Homo sapiens	1:Experimental evidence at protein level	Phosphatidylethanolamine-binding protein 1	1.0	0.999	10	146	146	146	12	12	13	3	6	6	0	15	13	18	13	10	10	7	7	1	0	0	12	12	13	3	6	6	0	15	13	18	13	10	10	7	7	1	0	0	12	12	13	3	6	6	0	15	13	18	13	10	10	7	7	1	0	0	6.3978944E8	6.7603014E8	7.1031462E8	1.90418096E8	3.74960608E8	4.20451392E8	2.69371168E8	7.6994349E8	7.5543635E8	8.2907622E8	5.3767718E8	5.527072E8	4.70229024E8	5.7937754E8	5.7955341E8	8.3240384E8	0.0	0.0	1.80156896E8	1.89045168E8	1.91409888E8	1.42360176E8	1.15524888E8	1.4110672E8	1.12208736E8	1.90748544E8	1.93224256E8	1.949196E8	1.73089392E8	1.78690576E8	1.6486536E8	1.60166752E8	1.546952E8	1.90993664E8	0.0	0.0	
sp|P30101|PDIA3_HUMAN	P30101	PDIA3_HUMAN	PDIA3	505	Homo sapiens	1:Experimental evidence at protein level	Protein disulfide-isomerase A3	1.0	0.999	25	310	310	310	26	18	18	9	16	17	3	25	25	30	29	26	27	20	18	2	1	0	26	18	18	9	16	17	3	25	25	30	29	26	27	20	18	2	1	0	26	18	18	9	16	17	3	25	25	30	29	26	27	20	18	2	1	0	2.02406566E9	1.84752602E9	1.87283814E9	6.7404742E8	1.9645504E9	1.34222003E9	1.68219085E9	2.07855411E9	2.00916019E9	2.12152678E9	1.88885299E9	1.89702426E9	1.78839283E9	2.07773824E9	2.03516544E9	2.12268941E9	7.061863E8	0.0	2.57571456E8	2.47576352E8	2.32737104E8	1.7373696E8	2.12341136E8	2.10630848E8	2.46991344E8	2.3771632E8	2.32490768E8	2.41400448E8	2.48013696E8	2.543648E8	2.39066064E8	2.53171024E8	2.51107856E8	2.75294816E8	2.23949024E8	0.0	
sp|P30153|2AAA_HUMAN	P30153	2AAA_HUMAN	PPP2R1A	589	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	1.0	0.999	23	182	147	182	16	14	11	0	2	4	0	24	24	23	19	15	15	9	6	0	0	0	12	12	10	0	2	4	0	17	20	16	16	13	12	7	6	0	0	0	16	14	11	0	2	4	0	24	24	23	19	15	15	9	6	0	0	0	3.4152864E8	3.34748256E8	3.35509984E8	0.0	5.6120328E7	7.5916976E7	6.241174E7	3.98072928E8	3.98516E8	4.19524576E8	2.90771264E8	2.9390272E8	2.71742944E8	2.98357408E8	3.20255424E8	1.6719592E8	2.731273E7	0.0	4.4142004E7	4.3137416E7	4.5344936E7	0.0	3.7513212E7	4.6723604E7	3.7858016E7	4.7492828E7	4.6516368E7	4.804464E7	4.394576E7	4.3458992E7	4.5751612E7	5.0980276E7	5.1441508E7	4.7477248E7	0.0	0.0	
sp|P30260|CDC27_HUMAN	P30260	CDC27_HUMAN	CDC27	824	Homo sapiens	1:Experimental evidence at protein level	Cell division cycle protein 27 homolog	0.9998	0.9982	2	6	6	6	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	5134212.0	6821711.0	0.0	0.0	0.0	0.0	0.0	1.2028204E7	1.2740567E7	5523893.0	3627631.2	4588167.0	3982884.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6770758.0	7028033.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P30405|PPIF_HUMAN	P30405	PPIF_HUMAN	PPIF	207	Homo sapiens	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	1.0	0.999	6	37	33	37	7	1	1	0	0	0	0	8	6	9	2	1	2	0	0	0	0	0	6	1	1	0	0	0	0	7	5	8	2	1	2	0	0	0	0	0	7	1	1	0	0	0	0	8	6	9	2	1	2	0	0	0	0	0	8.5112552E7	7.9556384E7	9.8080368E7	0.0	0.0	2.0012722E7	2.3515352E7	1.00239216E8	9.9475008E7	1.3107124E8	7.6803264E7	5.0222664E7	5.7767564E7	5.5552096E7	5.3855412E7	8.069516E7	0.0	0.0	3.0738848E7	3.092152E7	3.2080772E7	0.0	0.0	0.0	0.0	4.2336968E7	4.820858E7	3.6199916E7	2.2798186E7	2.8041266E7	2.5307988E7	3.390786E7	3.3169554E7	5.4068476E7	0.0	0.0	
sp|P30419|NMT1_HUMAN	P30419	NMT1_HUMAN	NMT1	496	Homo sapiens	1:Experimental evidence at protein level	Glycylpeptide N-tetradecanoyltransferase 1	1.0	0.999	9	43	31	43	9	4	3	0	0	1	0	5	7	5	3	2	1	2	1	0	0	0	6	4	2	0	0	1	0	2	4	3	3	2	1	2	1	0	0	0	9	4	3	0	0	1	0	5	7	5	3	2	1	2	1	0	0	0	7.2477016E7	6.3424912E7	7.3541424E7	0.0	0.0	1.9805498E7	0.0	8.1350776E7	7.7694432E7	7.6808848E7	4.9867704E7	4.271016E7	5.4687668E7	5.2557148E7	5.0887776E7	3.8241352E7	0.0	0.0	1.985814E7	1.7993448E7	1.9220132E7	0.0	0.0	0.0	0.0	1.949997E7	2.0498038E7	1.9415718E7	2.2100208E7	2.2364766E7	2.2947288E7	2.1179796E7	1.8569964E7	2.0623386E7	0.0	0.0	
sp|P30519|HMOX2_HUMAN	P30519	HMOX2_HUMAN	HMOX2	316	Homo sapiens	1:Experimental evidence at protein level	Heme oxygenase 2	1.0	0.999	6	23	23	23	4	3	2	0	0	0	0	3	4	5	1	0	1	0	0	0	0	0	4	3	2	0	0	0	0	3	4	5	1	0	1	0	0	0	0	0	4	3	2	0	0	0	0	3	4	5	1	0	1	0	0	0	0	0	2.6561748E7	2.8303594E7	3.2814586E7	0.0	0.0	0.0	0.0	3.2607938E7	3.2299014E7	2.9737152E7	1.2263664E7	1.9379968E7	1.340299E7	1.6072401E7	1.5671556E7	0.0	0.0	0.0	7730238.0	7711371.5	7191411.5	0.0	0.0	0.0	0.0	6788607.0	6667181.5	6895870.0	1.3934262E7	8306149.5	1.5172046E7	1.3880926E7	1.2941201E7	0.0	0.0	0.0	
