Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	10ngQCHeLa_75umC8_0min_1x_01 Spectral Count	10ngQCHeLa_75umC8_0min_1x_02 Spectral Count	10ngQCHeLa_75umC8_0min_1x_03 Spectral Count	200pgQCHeLa_75umC8_0min_1x_00 Spectral Count	200pgQCHeLa_75umC8_0min_1x_01 Spectral Count	200pgQCHeLa_75umC8_0min_1x_02 Spectral Count	200pgQCHeLa_75umC8_0min_1x_03 Spectral Count	20ngQCHeLa_75umC8_0min_1x_01 Spectral Count	20ngQCHeLa_75umC8_0min_1x_02 Spectral Count	20ngQCHeLa_75umC8_0min_1x_03 Spectral Count	2ngQCHeLa_75umC8_0min_1x_01 Spectral Count	2ngQCHeLa_75umC8_0min_1x_02 Spectral Count	2ngQCHeLa_75umC8_0min_1x_03 Spectral Count	Blank_75umC8_0min_1x_01 Spectral Count	Blank_75umC8_0min_1x_02 Spectral Count	Blank_75umC8_0min_1x_03 Spectral Count	10ngQCHeLa_75umC8_0min_1x_01 Unique Spectral Count	10ngQCHeLa_75umC8_0min_1x_02 Unique Spectral Count	10ngQCHeLa_75umC8_0min_1x_03 Unique Spectral Count	200pgQCHeLa_75umC8_0min_1x_00 Unique Spectral Count	200pgQCHeLa_75umC8_0min_1x_01 Unique Spectral Count	200pgQCHeLa_75umC8_0min_1x_02 Unique Spectral Count	200pgQCHeLa_75umC8_0min_1x_03 Unique Spectral Count	20ngQCHeLa_75umC8_0min_1x_01 Unique Spectral Count	20ngQCHeLa_75umC8_0min_1x_02 Unique Spectral Count	20ngQCHeLa_75umC8_0min_1x_03 Unique Spectral Count	2ngQCHeLa_75umC8_0min_1x_01 Unique Spectral Count	2ngQCHeLa_75umC8_0min_1x_02 Unique Spectral Count	2ngQCHeLa_75umC8_0min_1x_03 Unique Spectral Count	Blank_75umC8_0min_1x_01 Unique Spectral Count	Blank_75umC8_0min_1x_02 Unique Spectral Count	Blank_75umC8_0min_1x_03 Unique Spectral Count	10ngQCHeLa_75umC8_0min_1x_01 Total Spectral Count	10ngQCHeLa_75umC8_0min_1x_02 Total Spectral Count	10ngQCHeLa_75umC8_0min_1x_03 Total Spectral Count	200pgQCHeLa_75umC8_0min_1x_00 Total Spectral Count	200pgQCHeLa_75umC8_0min_1x_01 Total Spectral Count	200pgQCHeLa_75umC8_0min_1x_02 Total Spectral Count	200pgQCHeLa_75umC8_0min_1x_03 Total Spectral Count	20ngQCHeLa_75umC8_0min_1x_01 Total Spectral Count	20ngQCHeLa_75umC8_0min_1x_02 Total Spectral Count	20ngQCHeLa_75umC8_0min_1x_03 Total Spectral Count	2ngQCHeLa_75umC8_0min_1x_01 Total Spectral Count	2ngQCHeLa_75umC8_0min_1x_02 Total Spectral Count	2ngQCHeLa_75umC8_0min_1x_03 Total Spectral Count	Blank_75umC8_0min_1x_01 Total Spectral Count	Blank_75umC8_0min_1x_02 Total Spectral Count	Blank_75umC8_0min_1x_03 Total Spectral Count	10ngQCHeLa_75umC8_0min_1x_01 Intensity	10ngQCHeLa_75umC8_0min_1x_02 Intensity	10ngQCHeLa_75umC8_0min_1x_03 Intensity	200pgQCHeLa_75umC8_0min_1x_00 Intensity	200pgQCHeLa_75umC8_0min_1x_01 Intensity	200pgQCHeLa_75umC8_0min_1x_02 Intensity	200pgQCHeLa_75umC8_0min_1x_03 Intensity	20ngQCHeLa_75umC8_0min_1x_01 Intensity	20ngQCHeLa_75umC8_0min_1x_02 Intensity	20ngQCHeLa_75umC8_0min_1x_03 Intensity	2ngQCHeLa_75umC8_0min_1x_01 Intensity	2ngQCHeLa_75umC8_0min_1x_02 Intensity	2ngQCHeLa_75umC8_0min_1x_03 Intensity	Blank_75umC8_0min_1x_01 Intensity	Blank_75umC8_0min_1x_02 Intensity	Blank_75umC8_0min_1x_03 Intensity	10ngQCHeLa_75umC8_0min_1x_01 MaxLFQ Intensity	10ngQCHeLa_75umC8_0min_1x_02 MaxLFQ Intensity	10ngQCHeLa_75umC8_0min_1x_03 MaxLFQ Intensity	200pgQCHeLa_75umC8_0min_1x_00 MaxLFQ Intensity	200pgQCHeLa_75umC8_0min_1x_01 MaxLFQ Intensity	200pgQCHeLa_75umC8_0min_1x_02 MaxLFQ Intensity	200pgQCHeLa_75umC8_0min_1x_03 MaxLFQ Intensity	20ngQCHeLa_75umC8_0min_1x_01 MaxLFQ Intensity	20ngQCHeLa_75umC8_0min_1x_02 MaxLFQ Intensity	20ngQCHeLa_75umC8_0min_1x_03 MaxLFQ Intensity	2ngQCHeLa_75umC8_0min_1x_01 MaxLFQ Intensity	2ngQCHeLa_75umC8_0min_1x_02 MaxLFQ Intensity	2ngQCHeLa_75umC8_0min_1x_03 MaxLFQ Intensity	Blank_75umC8_0min_1x_01 MaxLFQ Intensity	Blank_75umC8_0min_1x_02 MaxLFQ Intensity	Blank_75umC8_0min_1x_03 MaxLFQ Intensity	Indistinguishable Proteins
sp|A6NHL2|TBAL3_HUMAN	A6NHL2	TBAL3_HUMAN	TUBAL3	446	Homo sapiens	1:Experimental evidence at protein level	Tubulin alpha chain-like 3	1.0	0.999	3	18	18	66	2	2	2	0	0	0	0	2	2	2	2	2	2	0	0	0	2	2	2	0	0	0	0	2	2	2	2	2	2	0	0	0	7	6	6	2	2	1	2	7	7	5	7	7	7	0	0	0	4.0042828E7	3.8993128E7	3.684092E7	2.7184184E7	3.9641868E7	2.8267128E7	2.4407054E7	4.1402948E7	4.2876184E7	4.3465428E7	3.8518368E7	3.6382248E7	3.4648664E7	0.0	0.0	0.0	2.7184288E7	2.6285194E7	2.5292958E7	0.0	0.0	0.0	0.0	2.7375702E7	2.7525442E7	2.4476896E7	2.5263276E7	2.4409104E7	2.1521576E7	0.0	0.0	0.0	
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	Homo sapiens	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	0.9987	0.9927	2	2	2	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	6195114.0	5408196.0	3687319.8	0.0	0.0	0.0	0.0	5133837.5	6061553.0	5644088.0	3130795.2	1875230.1	2958627.8	0.0	0.0	0.0	3377094.2	2944533.5	0.0	0.0	0.0	0.0	0.0	2800075.0	3310796.2	3000132.2	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A8MWD9|RUXGL_HUMAN	A8MWD9	RUXGL_HUMAN	SNRPGP15	76	Homo sapiens	5:Protein uncertain	Putative small nuclear ribonucleoprotein G-like protein 15	1.0	0.999	2	29	0	29	2	4	3	0	1	0	1	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	3	0	1	0	1	3	3	3	3	3	3	0	0	0	3.498678E7	3.4167496E7	3.526588E7	1.303856E7	1.9700584E7	1.8415108E7	5.3156504E7	4.3899632E7	4.142818E7	4.8460848E7	3.864998E7	4.0644288E7	3.5945552E7	0.0	0.0	0.0	2.1597812E7	2.002833E7	2.2765632E7	0.0	0.0	3.60673E7	0.0	1.8881404E7	1.8240802E7	1.824201E7	2.884495E7	2.5515372E7	2.8495044E7	0.0	0.0	0.0	sp|P62308|RUXG_HUMAN
sp|B0I1T2|MYO1G_HUMAN	B0I1T2	MYO1G_HUMAN	MYO1G	1018	Homo sapiens	1:Experimental evidence at protein level	Unconventional myosin-Ig	1.0	0.999	21	101	96	101	7	19	9	0	0	0	0	15	17	15	7	6	6	0	0	0	7	18	9	0	0	0	0	14	17	14	6	6	5	0	0	0	7	19	9	0	0	0	0	15	17	15	7	6	6	0	0	0	1.19829456E8	1.05516656E8	1.10633936E8	0.0	0.0	0.0	0.0	1.32193576E8	1.29783808E8	1.29448208E8	6.7255104E7	8.0843208E7	7.9588864E7	0.0	0.0	0.0	1.6291704E7	1.5225896E7	1.6449486E7	0.0	0.0	0.0	0.0	1.6816248E7	1.6401973E7	1.643784E7	1.4934215E7	1.3860899E7	1.4301587E7	0.0	0.0	0.0	
sp|B7ZAQ6|GPHRA_HUMAN	B7ZAQ6	GPHRA_HUMAN	GPR89A	455	Homo sapiens	1:Experimental evidence at protein level	Golgi pH regulator A	0.7928	0.9912	1	3	0	3	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1866433.2	1547080.6	2463246.0	0.0	0.0	0.0	0.0	2691381.2	2489157.5	2256078.8	0.0	0.0	2127567.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P0CG08|GPHRB_HUMAN
sp|E9PAV3|NACAM_HUMAN	E9PAV3	NACAM_HUMAN	NACA	2078	Homo sapiens	1:Experimental evidence at protein level	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.0	0.999	5	84	0	84	8	10	9	3	4	4	3	8	8	11	6	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	10	9	3	4	4	3	8	8	11	6	4	6	0	0	0	3.30331808E8	3.27372576E8	3.29923328E8	2.73500544E8	2.698472E8	2.7879776E8	2.8143056E8	3.33507008E8	3.31129824E8	3.41776096E8	2.98774048E8	3.08270848E8	3.02854336E8	0.0	0.0	0.0	1.16012896E8	1.13568176E8	1.1765012E8	1.15356712E8	1.00684408E8	1.0522228E8	1.08425912E8	1.20129496E8	1.19406816E8	1.22301056E8	1.10478312E8	1.12741232E8	1.09735896E8	0.0	0.0	0.0	sp|Q13765|NACA_HUMAN
sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	123	Homo sapiens	4:Protein predicted	Uncharacterized protein C11orf98	0.9714	0.999	1	9	9	9	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	1.115646E7	1.1666212E7	1.1383695E7	0.0	0.0	0.0	0.0	1.167762E7	1.1177967E7	1.1588472E7	1.031343E7	1.1143357E7	1.0541913E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|G2XKQ0|SUMO5_HUMAN	G2XKQ0	SUMO5_HUMAN	SUMO1P1	101	Homo sapiens	1:Experimental evidence at protein level	Small ubiquitin-related modifier 5	0.9995	0.9989	2	8	0	8	1	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1.1605694E7	1.0887748E7	1.2236499E7	0.0	0.0	0.0	0.0	1.0615972E7	1.0322443E7	9418974.0	1.5969081E7	1.5434016E7	1.5361769E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P63165|SUMO1_HUMAN
sp|L0R6Q1|S35U4_HUMAN	L0R6Q1	S35U4_HUMAN	SLC35A4	103	Homo sapiens	3:Protein inferred from homology	SLC35A4 upstream open reading frame protein	1.0	0.9985	3	14	14	14	2	2	2	0	0	0	0	1	3	2	1	0	1	0	0	0	2	2	2	0	0	0	0	1	3	2	1	0	1	0	0	0	2	2	2	0	0	0	0	1	3	2	1	0	1	0	0	0	8502917.0	8318294.5	7625370.0	0.0	0.0	0.0	0.0	8554062.0	8221737.0	1.0225618E7	4843627.5	7349880.0	6150953.5	0.0	0.0	0.0	4372068.0	4242436.0	3869130.2	0.0	0.0	0.0	0.0	4409965.0	4251625.5	4825056.0	2833080.0	4889317.0	3531933.2	0.0	0.0	0.0	
sp|O00115|DNS2A_HUMAN	O00115	DNS2A_HUMAN	DNASE2	360	Homo sapiens	1:Experimental evidence at protein level	Deoxyribonuclease-2-alpha	0.9674	0.9989	1	7	7	7	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	4364261.0	4433754.0	5015787.0	0.0	0.0	0.0	0.0	4559930.0	4019679.8	3725170.8	4735579.5	4737012.0	5017415.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00116|ADAS_HUMAN	O00116	ADAS_HUMAN	AGPS	658	Homo sapiens	1:Experimental evidence at protein level	Alkyldihydroxyacetonephosphate synthase, peroxisomal	1.0	0.999	11	44	44	44	5	6	4	0	0	0	0	7	6	9	3	2	2	0	0	0	5	6	4	0	0	0	0	7	6	9	3	2	2	0	0	0	5	6	4	0	0	0	0	7	6	9	3	2	2	0	0	0	6.60609E7	6.9282608E7	5.823622E7	0.0	0.0	0.0	0.0	9.3294968E7	7.6228264E7	9.0690352E7	5.476492E7	5.0033272E7	4.8936972E7	0.0	0.0	0.0	2.2435754E7	2.250767E7	2.2714262E7	0.0	0.0	0.0	0.0	2.6635908E7	2.7123046E7	2.8350192E7	1.9234806E7	2.0377832E7	1.7886356E7	0.0	0.0	0.0	
sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	706	Homo sapiens	1:Experimental evidence at protein level	Kinesin-like protein KIF2A	1.0	0.9987	5	12	12	12	1	1	2	0	0	0	0	2	4	2	0	0	0	0	0	0	1	1	2	0	0	0	0	2	4	2	0	0	0	0	0	0	1	1	2	0	0	0	0	2	4	2	0	0	0	0	0	0	7688549.0	7945050.0	1.2809086E7	0.0	0.0	0.0	0.0	1.861768E7	9979000.0	1.4180056E7	1.1945541E7	6609900.0	1.7578842E7	0.0	0.0	0.0	3676177.8	4148022.2	4336360.5	0.0	0.0	0.0	0.0	5030197.0	4167415.2	4580078.5	4440214.5	3178718.2	4149081.0	0.0	0.0	0.0	
sp|O00148|DX39A_HUMAN	O00148	DX39A_HUMAN	DDX39A	427	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX39A	1.0	0.999	17	52	52	206	7	7	5	0	0	0	0	8	6	9	3	3	4	0	0	0	7	7	5	0	0	0	0	8	6	9	3	3	4	0	0	0	23	22	20	5	8	7	7	24	19	23	17	15	16	0	0	0	7.0614904E7	7.8040208E7	7.3634608E7	1.1390313E7	1.0851473E7	1.1974496E7	2.0964532E7	8.9347424E7	8.0730608E7	9.4280152E7	3.6759956E7	4.6847656E7	3.9995804E7	0.0	0.0	0.0	2.229532E7	2.1821332E7	2.236629E7	0.0	0.0	0.0	1.853954E7	2.515667E7	2.2253712E7	2.6483846E7	1.5663116E7	1.3141906E7	1.3379747E7	0.0	0.0	0.0	
