Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_01 Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_02 Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_03 Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_00 Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_01 Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_02 Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_03 Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_01 Unique Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_02 Unique Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_03 Unique Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_00 Unique Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_01 Unique Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_02 Unique Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_03 Unique Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_01 Total Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_02 Total Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_03 Total Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_00 Total Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_01 Total Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_02 Total Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_03 Total Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_01 Intensity	10ngQCHeLa_ColTT1_ForwardFlush_02 Intensity	10ngQCHeLa_ColTT1_ForwardFlush_03 Intensity	200pgQCHeLa_ColTT1_ForwardFlush_00 Intensity	200pgQCHeLa_ColTT1_ForwardFlush_01 Intensity	200pgQCHeLa_ColTT1_ForwardFlush_02 Intensity	200pgQCHeLa_ColTT1_ForwardFlush_03 Intensity	10ngQCHeLa_ColTT1_ForwardFlush_01 MaxLFQ Intensity	10ngQCHeLa_ColTT1_ForwardFlush_02 MaxLFQ Intensity	10ngQCHeLa_ColTT1_ForwardFlush_03 MaxLFQ Intensity	200pgQCHeLa_ColTT1_ForwardFlush_00 MaxLFQ Intensity	200pgQCHeLa_ColTT1_ForwardFlush_01 MaxLFQ Intensity	200pgQCHeLa_ColTT1_ForwardFlush_02 MaxLFQ Intensity	200pgQCHeLa_ColTT1_ForwardFlush_03 MaxLFQ Intensity	Indistinguishable Proteins
sp|O00764|PDXK_HUMAN	O00764	PDXK_HUMAN	PDXK	312	Homo sapiens	1:Experimental evidence at protein level	Pyridoxal kinase	1.0	0.9974	5	9	9	9	3	3	3	0	0	0	0	3	3	3	0	0	0	0	3	3	3	0	0	0	0	1.4226813E7	1.2105E7	1.0446953E7	0.0	0.0	0.0	0.0	6817568.5	6575704.5	5696838.5	0.0	0.0	0.0	0.0	
sp|O14561|ACPM_HUMAN	O14561	ACPM_HUMAN	NDUFAB1	156	Homo sapiens	1:Experimental evidence at protein level	Acyl carrier protein, mitochondrial	0.6905	0.9925	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1.7358488E7	1.3137279E7	1.3645685E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14684|PTGES_HUMAN	O14684	PTGES_HUMAN	PTGES	152	Homo sapiens	1:Experimental evidence at protein level	Prostaglandin E synthase	0.9997	0.9942	2	2	2	2	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	4.9000304E7	5922989.0	7484049.0	0.0	0.0	4.2177896E7	3.36529E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14732|IMPA2_HUMAN	O14732	IMPA2_HUMAN	IMPA2	288	Homo sapiens	1:Experimental evidence at protein level	Inositol monophosphatase 2	1.0	0.9983	2	4	4	4	2	1	1	0	0	0	0	2	1	1	0	0	0	0	2	1	1	0	0	0	0	4726427.0	4010380.0	3762487.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14737|PDCD5_HUMAN	O14737	PDCD5_HUMAN	PDCD5	125	Homo sapiens	1:Experimental evidence at protein level	Programmed cell death protein 5	1.0	0.9985	4	9	9	9	3	4	2	0	0	0	0	3	4	2	0	0	0	0	3	4	2	0	0	0	0	2.3962576E7	1.3036517E7	1.850918E7	0.0	0.0	0.0	0.0	9377799.0	1.1109218E7	1.0012828E7	0.0	0.0	0.0	0.0	
sp|O14744|ANM5_HUMAN	O14744	ANM5_HUMAN	PRMT5	637	Homo sapiens	1:Experimental evidence at protein level	Protein arginine N-methyltransferase 5	1.0	0.9986	4	9	9	9	2	4	3	0	0	0	0	2	4	3	0	0	0	0	2	4	3	0	0	0	0	2.5399676E7	2.9212368E7	2.774512E7	0.0	0.0	0.0	7852742.0	9180643.0	1.0118756E7	1.0018028E7	0.0	0.0	0.0	0.0	
sp|O14745|NHRF1_HUMAN	O14745	NHRF1_HUMAN	SLC9A3R1	358	Homo sapiens	1:Experimental evidence at protein level	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	1.0	0.9987	3	6	6	6	4	1	1	0	0	0	0	4	1	1	0	0	0	0	4	1	1	0	0	0	0	2.008266E7	1.6372136E7	1.964674E7	0.0	0.0	0.0	6336381.5	1.2011333E7	1.1117224E7	1.1544033E7	0.0	0.0	0.0	0.0	
sp|O14773|TPP1_HUMAN	O14773	TPP1_HUMAN	TPP1	563	Homo sapiens	1:Experimental evidence at protein level	Tripeptidyl-peptidase 1	1.0	0.9978	2	4	4	4	1	1	2	0	0	0	0	1	1	2	0	0	0	0	1	1	2	0	0	0	0	1.5342364E7	1.1983538E7	1.5699423E7	0.0	0.0	0.0	0.0	8770807.0	6868334.5	9183445.0	0.0	0.0	0.0	0.0	
sp|O14776|TCRG1_HUMAN	O14776	TCRG1_HUMAN	TCERG1	1098	Homo sapiens	1:Experimental evidence at protein level	Transcription elongation regulator 1	1.0	0.9961	2	3	3	3	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0.0	1930387.9	2751016.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14818|PSA7_HUMAN	O14818	PSA7_HUMAN	PSMA7	248	Homo sapiens	1:Experimental evidence at protein level	Proteasome subunit alpha type-7	1.0	0.999	6	32	17	32	10	8	8	0	0	3	3	6	5	4	0	0	1	1	10	8	8	0	0	3	3	1.4874888E8	1.3068956E8	1.19551424E8	0.0	0.0	1.48400112E8	1.6042408E8	4.8591972E7	4.7529336E7	4.6334056E7	0.0	0.0	5.2407684E7	5.4232916E7	
sp|O14828|SCAM3_HUMAN	O14828	SCAM3_HUMAN	SCAMP3	347	Homo sapiens	1:Experimental evidence at protein level	Secretory carrier-associated membrane protein 3	1.0	0.9982	2	3	3	3	2	1	0	0	0	0	0	2	1	0	0	0	0	0	2	1	0	0	0	0	0	0.0	4071421.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14880|MGST3_HUMAN	O14880	MGST3_HUMAN	MGST3	152	Homo sapiens	1:Experimental evidence at protein level	Microsomal glutathione S-transferase 3	0.7152	0.9934	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	4403265.0	3542230.2	3128510.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14929|HAT1_HUMAN	O14929	HAT1_HUMAN	HAT1	419	Homo sapiens	1:Experimental evidence at protein level	Histone acetyltransferase type B catalytic subunit	0.9158	0.9985	1	3	3	3	2	0	1	0	0	0	0	2	0	1	0	0	0	0	2	0	1	0	0	0	0	7334886.0	8029400.0	7051210.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14949|QCR8_HUMAN	O14949	QCR8_HUMAN	UQCRQ	82	Homo sapiens	1:Experimental evidence at protein level	Cytochrome b-c1 complex subunit 8	1.0	0.9911	3	4	4	4	1	1	2	0	0	0	0	1	1	2	0	0	0	0	1	1	2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14950|ML12B_HUMAN	O14950	ML12B_HUMAN	MYL12B	172	Homo sapiens	1:Experimental evidence at protein level	Myosin regulatory light chain 12B	1.0	0.999	6	19	0	19	7	7	5	0	0	0	0	0	0	0	0	0	0	0	7	7	5	0	0	0	0	6.9650392E7	6.799376E7	6.88206E7	0.0	0.0	0.0	1.0715805E7	2.0727452E7	2.008294E7	2.113985E7	0.0	0.0	0.0	0.0	sp|P19105|ML12A_HUMAN
sp|O14975|S27A2_HUMAN	O14975	S27A2_HUMAN	SLC27A2	620	Homo sapiens	1:Experimental evidence at protein level	Very long-chain acyl-CoA synthetase	1.0	0.9988	8	20	17	20	7	7	6	0	0	0	0	7	5	5	0	0	0	0	7	7	6	0	0	0	0	3.8851428E7	2.2656186E7	3.71721E7	0.0	0.0	0.0	0.0	1.0758971E7	1.1496786E7	1.1482946E7	0.0	0.0	0.0	0.0	
sp|O14979|HNRDL_HUMAN	O14979	HNRDL_HUMAN	HNRNPDL	420	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein D-like	1.0	0.999	7	28	28	63	8	9	8	0	0	1	2	8	9	8	0	0	1	2	15	16	15	2	2	6	7	9.2473384E7	9.3071816E7	9.218828E7	0.0	0.0	7.1039288E7	6.8938048E7	6.3349148E7	6.032936E7	6.160806E7	0.0	0.0	5.1272372E7	4.7937236E7	
sp|O14980|XPO1_HUMAN	O14980	XPO1_HUMAN	XPO1	1071	Homo sapiens	1:Experimental evidence at protein level	Exportin-1	1.0	0.9988	17	50	50	50	21	15	14	0	0	0	0	21	15	14	0	0	0	0	21	15	14	0	0	0	0	1.07898824E8	1.22212408E8	1.29349088E8	0.0	0.0	3.6353124E7	1.9255762E7	1.7638578E7	1.7974574E7	1.8775558E7	0.0	0.0	3.3626404E7	0.0	
sp|O15042|SR140_HUMAN	O15042	SR140_HUMAN	U2SURP	1029	Homo sapiens	1:Experimental evidence at protein level	U2 snRNP-associated SURP motif-containing protein	0.9226	0.9986	1	5	5	5	2	2	1	0	0	0	0	2	2	1	0	0	0	0	2	2	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O15067|PUR4_HUMAN	O15067	PUR4_HUMAN	PFAS	1338	Homo sapiens	1:Experimental evidence at protein level	Phosphoribosylformylglycinamidine synthase	1.0	0.9986	7	17	17	17	7	4	6	0	0	0	0	7	4	6	0	0	0	0	7	4	6	0	0	0	0	2.2211152E7	1.8866774E7	1.9131846E7	0.0	0.0	0.0	1.3187322E7	9868995.0	8404891.0	7901408.5	0.0	0.0	0.0	7860560.0	
